beaconShape;BCNSHP
buildingShape;BUISHP
buoyShape;BOYSHP
buriedDepth;BURDEP
callSign;CALSGN
categoryOfAirportAirfield;CATAIR
categoryOfAnchorage;CATACH
categoryOfBridge;CATBRG
categoryOfBuiltUpArea;CATBUA
categoryOfCable;CATCBL
categoryOfCanal;CATCAN
categoryOfCardinalMark;CATCAM
categoryOfCheckpoint;CATCHP
categoryOfCoastline;CATCOA
categoryOfConveyor;CATCON
categoryOfCrane;CATCRN
categoryOfDam;CATDAM
categoryOfDistanceMark;CATDIS
categoryOfDock;CATDOC
categoryOfDumpingGround;CATDPG
categoryOfFenceWall;CATFNC
categoryOfFerry;CATFRY
categoryOfFishingFacility;CATFIF
categoryOfFogSignal;CATFOG
categoryOfFortifiedStructure;CATFOR
categoryOfGate;CATGAT
categoryOfHarbourFacility;CATHAF
categoryOfHulk;CATHLK
categoryOfIce;CATICE
categoryOfInstallationBuoy;CATINB
categoryOfLandRegion;CATLND
categoryOfLandmark;CATLMK
categoryOfLateralMark;CATLAM
categoryOfLight;CATLIT
categoryOfMarineFarmCulture;CATMFA
categoryOfMilitaryPracticeArea;CATMPA
categoryOfMooringWarpingFacility;CATMOR
categoryOfNavigationLine;CATNAV
categoryOfObstruction;CATOBS
categoryOfOffshorePlatform;CATOFP
categoryOfOffshoreProductionArea;catProd
categoryOfOilBarrier;CATOLB
categoryOfPile;CATPLE
categoryOfPilotBoardingPlace;CATPIL
categoryOfPipelinePipe;CATPIP
categoryOfProductionArea;CATPRA
categoryOfPylon;CATPYL
categoryOfRadarStation;CATRAS
categoryOfRadarTransponderBeacon;CATRTB
categoryOfRadioStation;CATROS
categoryOfRecommendedTrack;CATTRK
categoryOfRescueStation;CATRSC
categoryOfRestrictedArea;CATREA
categoryOfRoad;CATROD
categoryOfRunway;CATRUN
categoryOfSchedule;catSched
categoryOfSeaArea;CATSEA
categoryOfShorelineConstruction;CATSLC
categoryOfSignalStationTraffic;CATSIT
categoryOfSignalStationWarning;CATSIW
categoryOfSiloTank;CATSIL
categoryOfSlope;CATSLO
categoryOfSmallCraftFacility;CATSCF
categoryOfSpecialPurposeMark;CATSPM
categoryOfTidalStream;CAT_TS
categoryOfTrafficSeparationScheme;CATTSS
categoryOfVegetation;CATVEG
categoryOfWaterTurbulence;CATWAT
categoryOfWeedKelp;CATWED
categoryOfWreck;CATWRK
colour;COLOUR
colourPattern;COLPAT
communicationChannel;COMCHA
condition;CONDTN
contactInstructions;contInstr
dateDisused;dateDisused
dateEnd;DATEND
dateFixed;dateFix
dateStart;DATSTA
dateVariable;dateVar
dayOfWeek;dayWeek
dayOfWeekIsRange;dayWeekRange
depthRangeMaximumValue;DRVAL2
depthRangeMinimumValue;DRVAL1
displayName;dispNam
distanceUnitOfMeasurement;unitDist
dredgedDate;drgDat
elevation;ELEVAT
estimatedRangeOfTransmission;ESTRNG
exhibitionConditionOfLight;EXCLIT
expositionOfSounding;EXPSOU
fileLocator;fileLoc
fileReference;fileNam
flareStack;flare
flipBearing;flipBear
frequencyShoreStationReceives;freqReceiv
frequencyShoreStationTransmits;freqTransmit
function;FUNCTN
headline;headline
height;HEIGHT
horizontalClearanceLength;horizLeng
horizontalClearanceValue;HORCLR
horizontalClearanceWidth;horizWidth
horizontalLength;HORLEN
horizontalWidth;HORWID
iceFactor;ICEFAC
inDispute;inDispute
isMRCC;isMRCC
jurisdiction;JRSDTN
language;lenge
liftingCapacity;LIFCAP
lightCharacteristic;LITCHR
lightVisibility;LITVIS
linkage;linkag
magneticAnomalyValueMaximum;VALLMA
magneticAnomalyValueMinimum;VALLMA_min
majorLight;majorLight
marksNavigationalSystemOf;MARSYS
maximumPermittedDraught;maxDraught
measuredDistance;meaDistan
mMSICode;MMSI_code
moireEffect;moirEf
multiplicityKnown;multKnown
nameOfResource;namRes
nationality;NATION
natureOfConstruction;NATCON
natureOfSurface;NATSUR
natureOfSurfaceQualifyingTerms;NATQUA
numberOfFeatures;countFea
orientationValue;ORIENT
pictorialRepresentation;PICREP
product;PRODCT
qualityOfVerticalMeasurement;QUASOU
radarBand;band
radarConspicuous;CONRAD
radius;RADIUS
referenceLocation;refLoc
referenceTide;refTide
referenceTideType;refTidType
referenceYearForMagneticVariation;RYRMGV
regulationCitation;natioCit
reportedDate;SORDAT
restriction;RESTRN
scaleMinimum;SCAMIN
sectorBearing;secBear
sectorLineLength;secLinLen
signalDuration;signal_duration
signalFrequency;SIGFRQ
signalGeneration;SIGGEN
signalGroup;SIGGRP
signalPeriod;SIGPER
signalStatus;signalStatus
speedLimit;speedLim
speedMaximum;maxSpeed
speedMinimum;minSpeed
stationName;staNam
stationNumber;staNum
status;STATUS
streamDepth;streDep
sweptDate;swpDat
techniqueOfVerticalMeasurement;TECSOU
telecommunicationIdentifier;telecom_ID
telecommunicationService;telecomServ
text;text_
name;name
textJustification;textJust
textType;textType
timeOfDayEnd;timDayEnd
timeOfDayStart;timDaySta
timeRelativeToTide;timRelTide
topmarkDaymarkShape;TOPSHP
trafficFlow;TRAFIC
underlyingLayer;numLayer
valueOfAnnualChangeInMagneticVariation;VALACM
valueOfDepthContour;VALDCO
valueOfMagneticVariation;VALMAG
valueOfMaximumRange;VALMXR
valueOfNominalRange;VALNMR
valueOfSounding;VALSOU
verticalClearanceValue;VERCLR
verticalDatum;VERDAT
verticalLength;VERLEN
vesselClass;vesClass
virtualAISAidToNavigationType;typAIS
visuallyConspicuous;CONVIS
waterLevelEffect;WATLEV
waterwayDistance;watDist
waveLengthValue;RADWAL
