directionalCharacter;dirChar
featureName;feaNam
featuresDetected;feaDetect
fixedDateRange;staEnd
frequencyPair;freqPair
horizontalClearanceFixed;HORCLR_
horizontalClearanceOpen;HORCLR_open
horizontalPositionUncertainty;POSACC_
information;inform
lightSector;lightSector
measuredDistanceValue;distValue
multiplicityOfFeatures;multiFea
onlineResource;onlinRes
orientation;ORIENT_
periodicDateRange;perValid
radarWaveLength;RADWAL_
rhythmOfLight;RHYLGT
scheduleByDayOfWeek;schedDayWeek
sectorCharacteristics;secChar
sectorInformation;secInf
sectorLimit;sector
sectorLimitOne;SECTR1_
sectorLimitTwo;SECTR2_
shapeInformation;shpInf
signalSequence;SIGSEQ
speed;speed
surfaceCharacteristics;surfChar
surveyDateRange;surDat
telecommunications;telecom
tidalStreamPanelValues;tidStrePanVals
tidalStreamValue;tidStreVal
timeIntervalsByDayOfWeek;timIntDay
topmark;TOPMAR_
updateDescription;upDesc
valueOfLocalMagneticAnomaly;VALLMA_
verticalClearanceClosed;VERCCL_
verticalClearanceFixed;VERCLR_
verticalClearanceOpen;VERCOP_
verticalClearanceSafe;VERCSA_
verticalUncertainty;VERACC_
vesselSpeedLimit;vesSpeLim
