AdministrationArea;ADMARE
AirportAirfield;AIRARE
AnchorageArea;ACHARE
AnchorBerth;ACHBRT
ArchipelagicSeaLane;ArSeLan
ArchipelagicSeaLaneArea;ARCSLN
ArchipelagicSeaLaneAxis;ASLXIS
BeaconCardinal;BCNCAR
BeaconIsolatedDanger;BCNISD
BeaconLateral;BCNLAT
BeaconSafeWater;BCNSAW
BeaconSpecialPurposeGeneral;BCNSPP
Berth;BERTHS
Bridge;BRIDGE
Building;BUISGL
BuiltUpArea;BUAARE
BuoyCardinal;BOYCAR
BuoyEmergencyWreckMarking;BoyEmWreck
BuoyInstallation;BOYINB
BuoyIsolatedDanger;BOYISD
BuoyLateral;BOYLAT
BuoySafeWater;BOYSAW
BuoySpecialPurposeGeneral;BOYSPP
CableArea;CBLARE
CableOverhead;CBLOHD
CableSubmarine;CBLSUB
Canal;CANALS
CargoTranshipmentArea;CTSARE
Causeway;CAUSWY
CautionArea;CTNARE
Checkpoint;CHKPNT
CoastguardStation;CGUSTA
Coastline;COALNE
CollisionRegulationsLimit;ReguLine
ContiguousZone;CONZNE
ContinentalShelfArea;COSARE
Conveyor;CONVYR
Crane;CRANES
CurrentNonGravitational;CURENT
CustomZone;CUSZNE
Dam;DAMCON
Daymark;DAYMAR
DeepWaterRoute;DeeWatRou
DeepWaterRouteCentreline;DWRTCL
DeepWaterRoutePart;DWRTPT
DepthArea;DEPARE
DepthContour;DEPCNT
DepthNoBottomFound;DepNoFound
DiscolouredWater;DisColWat
DistanceMark;DISMAR
DockArea;DOCARE
DredgedArea;DRGARE
DryDock;DRYDOC
DumpingGround;DMPGRD
Dyke;DYKCON
ExclusiveEconomicZone;EXEZNE
Fairway;FAIRWY
FairwaySystem;FairSys
FenceWall;FNCLNE
FerryRoute;FERYRT
FisheryZone;FSHZNE
FishingFacility;FSHFAC
FishingGround;FSHGRD
FloatingDock;FLODOC
FogSignal;FOGSIG
FortifiedStructure;FORSTC
FoulGround;FoulGround
FreePortArea;FRPARE
Gate;GATCON
Gridiron;GRIDRN
HarbourAreaAdministrative;HRBARE
HarbourFacility;HRBFAC
Hulk;HULKES
IceArea;ICEARE
InformationArea;InformArea
InshoreTrafficZone;ISTZNE
IslandGroup;IslandGroup
Lake;LAKARE
LandArea;LNDARE
LandElevation;LNDELV
Landmark;LNDMRK
LandRegion;LNDRGN
LightAirObstruction;LitAir
LightAllAround;LitAll
LightFloat;LITFLT
LightFogDetector;LitFog
LightSectored;LitSec
LightVessel;LITVES
LocalMagneticAnomaly;LOCMAG
LockBasin;LOKBSN
LogPond;LOGPON
MagneticVariation;MAGVAR
MarineFarmCulture;MARCUL
MilitaryPracticeArea;MIPARE
MooringWarpingFacility;MORFAC
NavigationLine;NAVLNE
Obstruction;OBSTRN
OffshorePlatform;OFSPLF
OffshoreProductionArea;OSPARE
OilBarrier;OILBAR
PhysicalAISAidToNavigation;PhysAIS
Pile;PILPNT
PilotageDistrict;PilotDist
PilotBoardingPlace;PILBOP
PipelineOverhead;PIPOHD
PipelineSubmarineOnLand;PIPSOL
Pontoon;PONTON
PrecautionaryArea;PRCARE
ProductionStorageArea;PRDARE
PylonBridgeSupport;PYLONS
RadarLine;RADLNE
RadarRange;RADRNG
RadarReflector;RADRFL
RadarStation;RADSTA
RadarTransponderBeacon;RTPBCN
RadioCallingInPoint;RDOCAL
RadioStation;RDOSTA
Railway;RAILWY
RangeSystem;RangeSystem
Rapids;RAPIDS
RecommendedRouteCentreline;RCRTCL
RecommendedTrack;RECTRC
RecommendedTrafficLanePart;RCTLPT
RescueStation;RSCSTA
RestrictedAreaNavigational;RESARE_nav
RestrictedAreaRegulatory;RESARE_reg
Retroreflector;RETRFL
River;RIVERS
Road;ROADWY
Runway;RUNWAY
Sandwave;SNDWAV
SeaAreaNamedWaterArea;SEAARE
SeabedArea;SBDARE
SeaplaneLandingArea;SPLARE
ShorelineConstruction;SLCONS
SignalStationTraffic;SISTAT
SignalStationWarning;SISTAW
SiloTank;SILTNK
SlopeTopline;SLOTOP
SlopingGround;SLOGRD
SmallCraftFacility;SMCFAC
Sounding;SOUNDG
SpanFixed;FixSpan
SpanOpening;OpeSpan
Spring;SPRING
StraightTerritorialSeaBaseline;STSLNE
SubmarinePipelineArea;PIPARE
SubmarineTransitLane;SUBTLN
SweptArea;SWPARE
TerritorialSeaArea;TESARE
TidalStreamFloodEbb;TS_FEB
TidalStreamPanelData;TS_PAD
Tideway;TIDEWY
TrafficSeparationLine;TSELNE
TrafficSeparationScheme;TrafSepScheme
TrafficSeparationSchemeBoundary;TSSBND
TrafficSeparationSchemeCrossing;TSSCRS
TrafficSeparationSchemeLanePart;TSSLPT
TrafficSeparationSchemeRoundabout;TSSRON
TrafficSeparationZone;TSEZNE
Tunnel;TUNNEL
TwoWayRoute;TwoWayRou
TwoWayRoutePart;TWRTPT
UnderwaterAwashRock;UWTROC
UnsurveyedArea;UNSARE
Vegetation;VEGATN
VesselTrafficServiceArea;VesTrafServ
VirtualAISAidToNavigation;VirtAIS
Waterfall;WATFAL
WaterTurbulence;WATTUR
WeedKelp;WEDKLP
WindTurbine;WindTurb
Wreck;WRECKS
