categoryOfTemporalVariation;catTempVar
dataAssessment;dataAss
fullSeafloorCoverageAchieved;fullFloorCover
horizontalDistanceUncertainty;HORACC
leastDepthOfDetectedFeaturesMeasured;leaDepFea
lineSpacingMaximum;SDISMX
lineSpacingMinimum;SDISMN
maximumDisplayScale;disScMax
measurementDistanceMaximum;meaDistMax
measurementDistanceMinimum;meaDistMin
minimumDisplayScale;disScMin
orientationUncertainty;accOrient
qualityOfHorizontalMeasurement;QUAPOS
scaleValueMaximum;SCVAL1
scaleValueMinimum;SCVAL2
significantFeaturesDetected;sigFea
sizeOfFeaturesDetected;sizeFea
source;infoSource
surveyAuthority;SURATH
surveyType;SURTYP
uncertaintyFixed;fixUnc
uncertaintyVariableFactor;varUnc
