Проекция Меркатора;1;Широта первой стандартной параллели;Долгота начала координат;;;;9805
Попречная проекция Меркатора;2;Широта начала координат;Долгота начала координат;Масштабный коэффициент в начале координат;;;9807
Косоугольная проекция Меркатора;3;Широта центра проекции;Долгота центра проекции;Азимут начальной линии;Угол между прямоугольной и наклонной сеткой;Масштабный коэффициент на начальной линии;9815
Косоугольная проекция Меркатора в версии Хотина;4;Широта центра проекции;Долгота центра проекции;Азимут начальной линии;Угол между прямоугольной и наклонной сеткой;Масштабный коэффициент на начальной линии;9812
Коническая конформная проекция Ламберта (1SP);5;Широта начала координат;Долгота начала координат;Масштабный коэффициент в начале координат;;;9801
Коническая конформная проекция Ламберта (2SP);6;Широта ложного начала координат;Долгота ложного начала координат;Широта первой стандартной параллели;Широта второй стандартной параллели;;9802
Косоугольная стереографическая проекция;7;Широта начала координат;Долгота начала координат;Масштабный коэффициент в начале координат;;;9809
Полярная стереографическая проекция;8;Широта начала координат;Долгота начала координат;Масштабный коэффициент в начале координат;;;9810
Косоугольная конформная проекция Кровака;9;Широта центра проекции;Долгота центра проекции;Азимут начальной линии;Широта псевдо-стандартной параллели;Масштабный коэффициент на псевдо-стандартной параллели;9819
Американская поликоническая проекция;10;Широта начала координат;Долгота начала координат;;;;9818
Равновеликая проекция Альберса;11;Широта ложного начала координат;Долгота ложного начала координат;Широта первой стандартной параллели;Широта второй стандартной параллели;;9822
Азимутальная равновеликая проекция Ламберта;12;Широта ложного начала координат;Долгота ложного начала координат;;;;9820
Новозеландская картографическая сетка;13;Широта начала координат;Долгота начала координат;;;;9811
